Abalos	a b a l o s
Acosta	a k o s t a
Aguilar	a ɡ i l a ɾ
Alaminos	a l a m i n o s
Almazan	a l m a s a n
Bacani	b a k a n i
Balaoing	b a l a w i ŋ
Baniqued	b a n i k ɨ d
Boado	b o a d o
Bravo	b ɾ a b o
Bugayong	b u ɡ a j o ŋ
Bulatao	b u l a t a w
Cabanayan	k a b a n a j a n
Cabanilla	k a b a n i l j a
Cacdac	k a k d a k
Calimlim	k a l i m l i m
Caoagdan	k a w a ɡ d a n
Cardona	k a ɾ d o n a
Cariño	k a ɾ i n j o
Carvajal	k a ɾ b a h a l
Castro	k a s t ɾ o
Cerezo	s e ɾ e s o
Costales	k o s t a l e s
Delizo	d e l i s o
Doctolero	d o k t o l e ɾ o
Ferrer	p e r e ɾ
Iglesias	i ɡ l e s j a s
Licuanan	l i k w a n a n
Mabalot	m a b a l o t
Macaraeg	m a k a ɾ a ɨ ɡ
Macasieb	m a k a s j ɨ b
Malicdem	m a l i k d ɨ m
Mamaradlo	m a m a ɾ a d l o
Mamuyac	m a m u j a k
Manantan	m a n a n t a n
Manaoag	m a n a w a ɡ
Manaois	m a n a w i s
Mangaoang	m a ŋ a w a ŋ
Mangonon	m a ŋ o n o n
Maramba	m a ɾ a m b a
Mierkules	m j e ɾ k u l e s
Ocampo	o k a m p o
Paningbatan	p a n i ŋ b a t a n
Paragas	p a ɾ a ɡ a s
Parayno	p a ɾ a j n o
Patague	p a t a ɡ ɨ
Quiñones	k i n j o n e s
Ragacho	ɾ a ɡ a t͡ʃ o
Rombaoa	ɾ o m b a w a
Rosete	ɾ o s e t e
Rulloda	ɾ u l j o d a
Siapno	s j a p n o
Tamondong	t a m o n d o ŋ
Torres	t o r e s
Tugade	t u ɡ a d e
Untalan	u n t a l a n
aba	a b a
abakada	a b a k a d a
abong	a b o ŋ
abung	a b u ŋ
agew	a ɡ ɨ w
alakdan	a l a k d a n
ambalanga	a m b a l a ŋ a
amunggos	a m u ŋ ɡ o s
anak	a n a k
animolok	a n i m o l o k
apgo	a p ɡ o
aping	a p i ŋ
aripuen	a ɾ i p w ɨ n
asawa	a s a w a
asipuet	a s i p w ɨ t
aso	a s o
ayro	a j ɾ o
bagio	b a ɡ j o
balais	b a l a i s
baleg	b a l ɨ ɡ
baley	b a l ɨ j
baraha	b a ɾ a h a
barena	b a ɾ e n a
basakay	b a s a k a j
bilay	b i l a j
buek	b w ɨ k
buenlag	b w ɨ n l a ɡ
bulawen	b u l a w ɨ n
dagem	d a ɡ ɨ m
deket	d ɨ k ɨ t
duka	d u k a
eleng	ɨ l ɨ ŋ
eras	ɨ ɾ a s
eskuelaan	e s k w e l a a n
ikaw	i k a w
ikit	i k i t
iknol	i k n o l
ikol	i k o l
ilang	i l a ŋ
ilog	i l o ɡ
inagem	i n a ɡ ɨ m
inom	i n o m
kabaliksan	k a b a l i k s a n
kawigi	k a w i ɡ i
kiew	k j ɨ w
koko	k u k o
kulungan	k u l u ŋ a n
labi	l a b i
langka	l a ŋ k a
lesek	l ɨ s ɨ k
likdem	l i k d ɨ m
linawa	l i n a w a
linget	l i ŋ ɨ t
lua	l w a
malamang	m a l a m a ŋ
malapayong	m a l a p a j o ŋ
malimgas	m a l i m ɡ a s
managbakal	m a n a ɡ b a k a l
mangiras	m a ŋ i ɾ a s
miskey	m i s k ɨ j
muelag	m w ɨ l a ɡ
ngarem	ŋ a ɾ ɨ m
ngipuen	ŋ i p w ɨ n
ngiras	ŋ i ɾ a s
ogaw	o ɡ a w
oring	o ɾ i ŋ
pagey	p a ɡ ɨ j
palandey	p a l a n d ɨ j
pana	p a n a
parel	p a ɾ e l
patey	p a t ɨ j
pueg	p w ɨ ɡ
puetang	p w ɨ t a ŋ
salita	s a l i t a
salomage	s a l o m a ɡ e
saloy	s a l o j
sanok	s a n o k
sentensia	s e n t e n s j a
siopa	s i p a
siopa	s j o p a
siopa	s o p a
sira	s i r a
sirit	s i ɾ i t
sulaw	s u l a w
takayan	t a k a j a n
tamuro	t a m u ɾ o
taon	t a o n
tiagew	t j a ɡ ɨ w
timawa	t i m a w a
tinebey	t i n e b e j
tolong	t o l o ŋ
tua	t u a
tuka	t u k a
uban	u b a n
ugali	u ɡ a l i
uken	u k ɨ n
ukom	u k o m
uleg	u l ɨ ɡ
ulila	u l i l a
ungib	u ŋ i b
uran	u ɾ a n
wawak	w a w a k
