Borongan	b o ɾ o ŋ ɡ a n
Brozas	b ɾ o s a s
Satanas	s a t a n a s
Tacloban	t a k l o b a n
Winaray	w i n a ɾ a j
abugho	ʔ a b u ɡ h o
agal	ʔ a ɡ a l
agbon	ʔ a ɡ b o n
aghoy	ʔ a ɡ h o j
agian	ʔ a ɡ i a n
agnay	ʔ a ɡ n a j
agtang	ʔ a ɡ t a ŋ
alampay	ʔ a l a m p a j
alho	ʔ a l h o ʔ
almog	ʔ a l m o ɡ
amog	ʔ a m o ɡ
aningal	ʔ a n i ŋ a l
anyaw	ʔ a n j a w
apadong	ʔ a p a d o ŋ
apan	ʔ a p a n
apot	ʔ a p o t
apoy	ʔ a p o j
aragway	ʔ a ɾ a ɡ w a j
aranyaw	ʔ a ɾ a n j a w
aringit	ʔ a ɾ i ŋ i t
arom	ʔ a ɾ o m
atipunga	ʔ a t i p u ŋ a
bahin	b a h i n
baktin	b a k t i n
balaod	b a l a o d
balawak	b a l a w a k
balighot	b a l i ɡ h o t
banawag	b a n a w a ɡ
bangin	b a ŋ i n
bangkaw	b a ŋ k a w
bangros	b a ŋ ɾ o s
bansil	b a n s i l
bantol	b u t o l
bao	b a o
baog	b a o ɡ
barangan	b a ɾ a ŋ a n
bido	b i d o ʔ
bubot	b u b o t
bugkot	b u ɡ k o t
bugoy	b u ɡ o j
bugsay	b u ɡ s a j
buhawi	b u h a w i ʔ
bukad	b u k a d
bulhot	b u l h o t
buwas	b u a s
dabal	d a b a l
edro	ʔ e d ɾ o
elepante	ʔ ɛ l ɛ p a n t ɛ
enolang	ʔ e n o l a ŋ
epistemolohiya	ʔ e p i s t e m o l o h i a
gutiay	ɡ u t i a j
hadi	h a d i
halaba	h a l a b a
halag	h a l a ɡ
hangga	h a ŋ ɡ a
haromigas	h a ɾ o m i ɡ a s
hi	h i
hiya	h j a
hubya	h u b j a ʔ
hugpo	h u ɡ p o ʔ
hukbot	h u k b o t
humog	h u m o ɡ
inding	ʔ i n d i ŋ
inulang	ʔ i n u l a ŋ
inultan	ʔ i n u l t a n
irong	ʔ i ɾ o ŋ
iroy	ʔ i ɾ o j
kakablasan	k a k a b l a s a n
kakulop	k a k u l o p
kalibutan	k a l i b u t a n
karuhaan	k a ɾ u h a ʔ a n
katluan	k a t l u ʔ a n
katotnga	k a t o t ŋ a
kaunman	k a ʔ u n m a n
kaupay	k a w p a j
kibal	k i b a l
kingki	k i ŋ k i
kinis	k i n i s
kuyba	k u j b a
kuying	k u j ɪ ŋ
kuying	k u ʝ i ŋ
lantap	l a n t a p
lantawan	l a n t a w a n
lapsok	l a p s o k
libong	l i b o ŋ
linop	l i n o p
lisik	l i s i k
lukag	l u k a ɡ
lumalangyaw	l u m a l a ŋ j a w
lumoton	l u m o t o n
luparan	l u p a ɾ a n
maarom	m a a ɾ o m
maawod	m a a w o d
magin	m a ɡ i n
magsidiray	m a ɡ s i d i ɾ a j
mahidlaw	m a h i d l a ʔ u
makatol	m a k a t o l
makuyaw	m a k u j a w
malanhod	m a l a n h o d
malantap	m a l a n t a p
malanyog	m a l a n j o ɡ
manaragna	m a n a ɾ a ɡ n a
masag	m a s a ɡ
mulay	m u l a j
mulayan	m u l a j a n
muya	m u j a ʔ
nuos	n u o s
nuwaytuway	n u a j t u a j
panagna	p a n a ɡ n a ʔ
pasikaran	p a s i k a ɾ a n
pedagohiya	p e d a ɡ o h i a
pingak	p i ŋ a k
piraw	p i ɾ a w
pitad	p i t a d
piyos	p i o s
potpot	p o t p o t
pudong	p u d o ŋ
pugtot	p u ɡ t o t
sagaad	s a ɡ a a d
sagbang	s a ɡ b a ŋ
sagdon	s a ɡ d o n
sagudida	s a ɡ u d i d a
salambaw	s a l a m b a w
salana	s a l a n a ʔ
salikway	s a l i k w a j
salingkapaw	s a l i ŋ k a p a w
salod	s a l o d
sapyo	s a p j o
sarabutan	s a ɾ a b u t a n
sarakab	s a ɾ a k a b
sarakban	s a ɾ a k b a n
sarakyan	s a ɾ a k j a n
saraming	s a ɾ a m i ŋ
saramok	s a ɾ a m o k
siday	s i d a j
silot	s i l o t
singba	s i ŋ b a
singbahan	s i ŋ b a h a n
sinirangan	s i n i ɾ a ŋ a n
sudlot	s u d l o t
sugbong	s u ɡ b o ŋ
suhag	s u h a ɡ
sumatanon	s u m a t a n o n
sungkod	s u ŋ k o d
syahan	s j a h a n
tandayan	t a n d a j a n
tangkod	t a ŋ k o d
tangkogo	t a ŋ k o ɡ o
taoy	t a o j
taoyon	t a o j o n
tarabutab	t a ɾ a b u t a b
tarambuan	t a ɾ a m b u a n
tarokanga	t a ɾ o k a ŋ a
tubak	t u b a k
tubong	t u b o ŋ
tuboy	t u b o j
tuigon	t u j ɡ o n
tupra	t u p ɾ a
udhanon	ʔ u d h a n o n
uding	ʔ u d i ŋ
udingon	ʔ u d i ŋ o n
uhataw	ʔ u h a t a w
ulalahipan	ʔ u l a l a h i p a n
ulaping	ʔ u l a p i ŋ
ulitawo	ʔ u l i t a w o
ulitawohay	ʔ u l i t a w o h a j
umangkon	ʔ u m a ŋ k o n
umpas	ʔ u m p a s
umurokoy	ʔ u m u ɾ o k o j
unob	ʔ u n o b
usbok	ʔ u s b o k
waray	w a ɾ a j
yagid	j a ɡ i d
yanta	j a n t a ʔ
yapad	j a p a d
yapis	j a p i s
yatik	j a t i k
yatot	j a t o t
yeso	j e s o
yinaknan	j i n a k n a n
yupyopan	j u p j o p a n
